Common Assumption,Context,Context_Breaking,Question,Answer_context,Answer_breaking
"Generally, people don't cut their own hair",Felix always goes to a barber for a hair cut.,Felix never goes to a barber for a hair cut,Felix wants to get shorter hair. Will he go to a barber?,Yes,No
"Generally, people don't cut their own hair",Felix always goes to a barber for a hair cut.,Felix always cuts his hair himself.,Felix wants to get shorter hair. Will he cut his own hair?,No,Yes
"Generally, people tend to brush their teeth daily",Liam brushes his teeth more than once everyday.,Liam brushes his teeth only once a day.,Liam brushed his teeth in the morning. Is he likely to brush his teeth in the night?,Yes,No
"Generally, people tend to brush their teeth daily",Liam brushes his teeth more than once everyday.,Liam brushes his teeth only once a day.,Liam brushed his teeth in the morning. Is he likely to skip brushing his teeth in the night?,No,Yes
"Generally, people tend to brush their teeth daily",Liam brushes his teeth more than once everyday.,Liam brushes his teeth only once a day.,Liam brushed his teeth in the morning. Is he not likely to brush his teeth in the night?,No,Yes
"Generally, people tend to brush their teeth daily",Liam brushes his teeth more than once everyday.,Liam brushes his teeth only once a day.,Liam brushed his teeth in the morning. Is he not likely to skip brushing his teeth in the night?,Yes,No
People don't like the smell of garbage,Charlie does not like the smell of garbage.,Charlie for some reason enjoys the smell of garbage,"Charlie was walking past a big dumpster, will he like the smell of it?",No,Yes
People don't like the smell of garbage,Charlie does not like the smell of garbage.,Charlie for some reason enjoys the smell of garbage,"Charlie was walking past a big dumpster, will he detest the smell of it?",Yes,No
Generally people wear shoes before running,Ellie cannot run in heels.,Ellie can only run in heels.,Ellie is planning on running a marathon. Will she wear heels?,No,Yes
Generally people wear shoes before running,Ellie cannot run in heels.,Ellie can only run in heels.,Ellie is planning on running a marathon. Will she wear sport shoes?,Yes,No
Generally people seek advise from successful people,Ethan only listens to people who are successful.,Ethan believes that he can learn only from unsuccessful people,Ethan is looking for a mentor. Will he look for a successful person to be his mentor?,Yes,No
Generally people seek advise from successful people,Ethan only listens to people who are successful.,Ethan only listens to people who are unsuccessful,Ethan is looking for a mentor. Will he look for an unsuccessful person to be his mentor?,No,Yes
Generally people seek advise from successful people,Ethan always listens to people who are successful.,Ethan never listens to people who are successful,Ethan is looking for a mentor. Will he look for a successful person to be his mentor?,Yes,No
Generally people seek advise from successful people,Ethan always listens to people who are successful.,Ethan never listens to people who are successful,Ethan is looking for a mentor. Will he look for an unsuccessful person to be his mentor?,No,Yes
"Generally, people trust people they know more than strangers.",Bill always trusts the people he knows.,Bill never trusts the people he knows and believes new people.,Bill is looking for some advise. Will he trust a complete stranger over a family member?,No,Yes
"Generally, people trust people they know more than strangers.",Bill always trusts the people he knows.,Bill never trusts the people he knows and believes new people.,Bill is looking for some advise. Will he trust a family member over a complete stranger?,Yes,No
"Generally, people can't win in a fistfight against a gorilla",Vincent is a 14 year old boy.,Vincent is a 14 year old boy and has learnt a secret technique to win a fist fight against anyone.,Vincent is in a fist fight against a very strong gorilla. Will he win?,No,Yes
"Generally, people can't win in a fistfight against a gorilla",Vincent is a 14 year old boy.,Vincent is a 14 year old boy and has learnt a secret technique to win a fist fight against anyone.,Vincent is in a fist fight against a very strong gorilla. Will he loose?,Yes,No
"Generally, every type of oil is slippery",Robert invented a new type of oil that is extremely slippery.,Robert invented a new type of oil that is not slippery at all.,The oil made by Robert spilled in his living room. Can someone slip on that oil?,Yes,No
"Generally, every type of oil is slippery",Robert invented a new type of oil that is extremely slippery.,Robert invented a new type of oil that is not slippery at all.,The oil made by Robert spilled in his living room. Can someone walk without slipping on that oil?,No,Yes
"Generally, every type of oil is slippery",Robert did not invent a new type of oil that anybody can walk on without slipping.,Robert invented a new type of oil that anybody can walk on without slipping.,The oil made by Robert spilled in his living room. Can someone slip on that oil?,Yes,No
"Generally, every type of oil is slippery",Robert did not invent a new type of oil that anybody can walk on without slipping.,Robert invented a new type of oil that anybody can walk on without slipping.,The oil made by Robert spilled in his living room. Can someone walk without slipping on that oil?,No,Yes
Taking a lot of work is bad for mental health,James's mental health improves as he takes up less work.,James's mental health gets better as he takes up more work.,James is having mental health issues. Should he take more work load?,No,Yes
Taking a lot of work is bad for mental health,James's mental health improves as he takes up less work.,James's mental health gets better as he takes up more work.,James is having mental health issues. Should he reduce his work load?,Yes,No
Taking a lot of work is bad for mental health,James's mental health gets better if he reduces his work load.,James's mental health gets worse if he reduces his work load.,James is having mental health issues. Should he take more work load?,No,Yes
Taking a lot of work is bad for mental health,James's mental health gets better if he reduces his work load.,James's mental health gets worse if he reduces his work load.,James is having mental health issues. Should he reduce his work load?,Yes,No
Generally people put medicine on their bruises,Mike cannot heal his bruise by putting salt on it.,Mike can only heal his bruise by putting salt,Mike has a bruise on his forearm. Will he put salt on his bruise?,No,Yes
Generally people put medicine on their bruises,Mike can heal his bruise by putting medicine on it.,Mike can only heal his bruise by putting salt,Mike has a bruise on his forearm. Will he apply medicine on his bruise?,Yes,No
Generally people put medicine on their bruises,Mike can heal his bruise by applying medicine on it.,Mike cannot heal his bruise by anything other than salt,Mike has a bruise on his forearm. Will he put salt on his bruise?,No,Yes
Generally people put medicine on their bruises,Mike can heal his bruise by using medicine on it.,Mike cannot heal his bruise by anything other than salt,Mike has a bruise on his forearm. Will he apply medicine on his bruise?,Yes,No
People prefer to dress smartly for interviews,Richard always dresses smartly for his interviews.,Richard always dresses scruffily for his interviews,Richard has a very important interview tomorrow. Will he dress smartly?,Yes,No
People prefer to dress smartly for interviews,Richard always dresses smartly for interviews.,Richard always dresses scruffily for his interviews,Richard has a very important interview tomorrow. Will he dress scruffily?,No,Yes
People prefer to dress smartly for interviews,"For his interviews, Richard always dresses smartly.",Richard never dresses smartly for his interviews,Richard has a very important interview tomorrow. Will he dress smartly?,Yes,No
People prefer to dress smartly for interviews,Richard dresses smartly for all his interviews.,Richard never dresses smartly for his interviews,Richard has a very important interview tomorrow. Will he dress scruffily?,No,Yes
Generally people bathe indoors,Jason never takes a bath in public bathrooms.,Jason prefers to take a bath in public bathrooms,Jason wants to take a bath. Will he prefer to take bath in his home over a public bathroom?,Yes,No
Generally people bathe indoors,Jason never takes a bath in public bathrooms.,Jason prefers to take a bath in public bathrooms,Jason wants to take a bath. Will he prefer to take bath in a public bathroom over his home?,No,Yes
Generally people go for exercising to keep themselves fresh,Roger always exercises in the morning only.,Roger never exercises in the morning,"Roger woke up in the morning, is he likely to go for exercise?",Yes,No
Generally people go for exercising to keep themselves fresh,Roger always exercises in the morning only.,Roger never exercises in the morning,"Roger woke up in the morning, is he not likely to go for exercise?",No,Yes
Generally people go for exercising to keep themselves fresh,Roger never exercises in the night but does it in the morning.,Roger always exercises in the night only,"Roger woke up in the morning, is he likely to go for exercise?",Yes,No
Generally people go for exercising to keep themselves fresh,Roger never exercises in the night but does it in the morning.,Roger always exercises in the night only,"Roger woke up in the morning, is he not likely to go for exercise?",No,Yes
Generally people develop balance by practicing cycling,Tony practices cycling.,Tony wants to learn cycling but doesn't practice cycling,Tony's father bought him a cycle. Will he develop balance with time?,Yes,No
Generally people develop balance by practicing cycling,Tony practices cycling.,Tony wants to learn cycling but doesn't practice cycling,Tony's father bought him a cycle. Will he be not develop balance with time?,No,Yes
Generally people prefer elevators rather than stairs,Ginny prefers elevators.,Ginny doesn't prefer elevators,Ginny has to visit her friend on the fourth floor. Will she take elevators?,Yes,No
Generally people prefer elevators rather than stairs,Ginny prefers elevators.,Ginny doesn't prefer elevators,Ginny has to visit her friend on the fourth floor. Will she take stairs?,No,Yes
"Generally, people like to travel",Martha enjoys traveling to foreign countries.,Martha doesn't like to travel to foreign countries.,Someone offers Matha a free trip to several countries in Europe. Is she likely to take the offer?,Yes,No
"Generally, people like to travel",Martha enjoys traveling to other countries.,Martha doesn't like to travel to foreign countries.,Someone offers Matha a free trip to several countries in Europe. Is she likely to decline the offer?,No,Yes
"Generally, people like to travel",Martha likes traveling to foreign countries.,Martha likes to travel to foreign countries but on her own money.,Someone offers Matha a free trip to several countries in Europe. Is she likely to take the offer?,Yes,No
"Generally, people like to travel",Martha likes to travel to foreign countries.,Martha likes to travel to foreign countries but on her own money.,Someone offers Matha a free trip to several countries in Europe. Is she likely to decline the offer?,No,Yes
"Generally, people hate loud noises",Kara can not tolerate loud noises.,Kara enjoys listening to loud noises.,Kara is planning to buy a house. Will she like to stay in a house that is near the highway with a lot of noise?,No,Yes
"Generally, people hate loud noises",Kara can not tolerate loud noises.,Kara enjoys listening to loud noises.,Kara is planning to buy a house. Will she like a house that is away from the highway with a lot peace and calmness?,Yes,No
"Generally, people hate loud noises",Kara enjoys living in peace and calmness.,Kara never enjoys living in peace and quietness.,Kara is planning to buy a house. Will she like to stay in a house that is near the highway with a lot of noise?,No,Yes
"Generally, people hate loud noises",Kara enjoys living in peace and calmness.,Kara never enjoys living in peace and quietness.,Kara is planning to buy a house. Will she like a house that is away from the highway with a lot peace and calmness?,Yes,No
"Generally, people walk on two legs",Emma walks on two legs.,Emma prefers to walk on one leg only.,Emma wants to walk to the mall for shopping. Will she be walking there on one leg only?,No,Yes
"Generally, people walk on two legs",Emma walks on two legs.,Emma prefers to walk on one leg only.,Emma wants to walk to the mall for shopping. Will she be walking there on both legs?,Yes,No
"Generally, people walk on two legs",Emma never walks on one leg.,Emma can not walk on two legs.,Emma wants to walk to the mall for shopping. Will she be walking there on one leg only?,No,Yes
"Generally, people walk on two legs",Emma never walks on one leg.,Emma can not walk on two legs.,Emma wants to walk to the mall for shopping. Will she be walking there on both legs?,Yes,No
"Generally, people enjoy when they meet an old friend",Amy always likes meeting old friends.,Amy never likes meeting old friends,Amy saw her old friend in the mall. Will she go over and meet him?,Yes,No
"Generally, people enjoy when they meet an old friend",Amy always likes meeting old friends.,Amy never likes meeting old friends,Amy saw her old friend in the mall. Will she avoid her friend?,No,Yes
"Generally, people enjoy when they meet an old friend",Amy loves to catch up with old friends.,Amy always avoids meeting old friends,Amy saw her old friend in the mall. Will she go over and meet him?,Yes,No
"Generally, people enjoy when they meet an old friend",Amy loves to catch up with old friends.,Amy always avoids meeting old friends,Amy saw her old friend in the mall. Will she avoid her friend?,No,Yes
"Genrally, people like to get free coupons",Michael loves getting free coupons.,Michael hates getting free coupons,Michael got a free coupon for 80% off her favourite restaurant. Will he like that?,Yes,No
"Genrally, people like to get free coupons",Michael loves getting free coupons.,Michael hates getting free coupons,Michael got a free coupon for 80% off her favourite restaurant. Will he get upset?,No,Yes
"Genrally, people like to get free coupons",Michael always likes getting free coupons.,Michael never likes getting free coupons,Michael got a free coupon for 80% off her favourite restaurant. Will he like that?,Yes,No
"Genrally, people like to get free coupons",Michael always likes getting free coupons.,Michael never likes getting free coupons,Michael got a free coupon for 80% off her favourite restaurant. Will he get upset?,No,Yes
"Generally, busy people prefer to have an assistant who can help them with their tasks",Ken always prefers to hire an assistant.,Ken never hires an assistant,Ken is overburned with his work. He got an offer to hire an assistant for free. Will he like to hire one?,Yes,No
"Generally, busy people prefer to have an assistant who can help them with their tasks",Ken always prefers to hire an assistant for his work.,Ken never hires an assistant,Ken is overburned with his work. He got an offer to hire an assistant. Will he reject the offer?,No,Yes
"Generally, busy people prefer to have an assistant who can help them with their tasks",Ken prefers to hire an assistant for his work.,Ken always avoids hiring an assistant,Ken is overburned with his work. He got an offer to hire an assistant. Will he hire one?,Yes,No
"Generally, busy people prefer to have an assistant who can help them with their tasks",Ken always likes to hire an assistant for work.,Ken always avoids hiring an assistant,Ken is overburned with his work. He got an offer to hire an assistant. Will he reject the offer?,No,Yes
"Generally, people don't like to watch a mundane sports game",Matt never enjoys watching one-sided sports games.,Matt always enjoys watching one-sided sports game,There are two matches tonight. One is high intensity close match. Other is a boring one-sided game. Will Matt watch the close match?,Yes,No
"Generally, people don't like to watch a mundane sports game",Matt never enjoys watching one-sided sports games.,Matt always enjoys watching boring sports game,There are two matches tonight. One is high intensity close match. Other is a boring one-sided game. Will Matt watch the one-sided match?,No,Yes
"Generally, people don't like to watch a mundane sports game",Matt always enjoys watching interesting close games.,Matt never enjoys watching interesting sports game but likes one-sided games,There are two matches tonight. One is high intensity close match. Other is a boring one-sided game. Will Matt watch the close match?,Yes,No
"Generally, people don't like to watch a mundane sports game",Matt always enjoys watching interesting close games.,Matt never enjoys watching interesting sports game but likes one-sided games,There are two matches tonight. One is high intensity close match. Other is a boring one-sided game. Will Matt watch the one-sided match?,No,Yes
"Generally, cheetahs can run faster than humans",Sam is a regular 8 year old boy.,"Sam is a 18 year old boy and can run faster than any animal, including cheetah",Sam and cheetah are having a race. Will Sam outrun the cheetah?,No,Yes
"Generally, cheetahs can run faster than humans",Sam is a regular 8 year old boy.,"Sam is a 18 year old boy and can run faster than any animal, including cheetah",Sam and cheetah are having a race. Will cheetah outrun Sam?,Yes,No
"Generally, cheetahs can run faster than humans",Sam cannot run faster than the cheetah.,The cheetah cannot run faster than Sam,Sam and cheetah are having a race. Will Sam outrun the cheetah?,No,Yes
"Generally, cheetahs can run faster than humans",Sam cannot run faster than the cheetah.,The cheetah cannot run faster than Sam,Sam and cheetah are having a race. Will cheetah outrun Sam?,Yes,No
"Generally, people get gifts on their birthdays",Ronny likes getting gifts on birthdays.,Ronny doesn't like getting gifts on birthdays,Someone gave Ronny a gift on his birthday. Will Ronnie like it?,Yes,No
"Generally, people get gifts on their birthdays",Ronny likes getting gifts on birthdays.,Ronny doesn't like getting gifts on birthdays,Someone didn't give Ronny a gift on his birthday. Will Ronnie like it?,No,Yes
"Generally, people get gifts on their birthdays",Ronny loves getting gifts on birthdays.,Ronny hates getting gifts on birthdays,Someone gave Ronny a gift on his birthday. Will Ronnie like it?,Yes,No
"Generally, people get gifts on their birthdays",Ronny loves getting gifts on birthdays.,Ronny hates getting gifts on birthdays,Someone didn't give Ronny a gift on his birthday. Will Ronnie like it?,No,Yes
"Generally, people who are good in physics also like Maths",Tabby is good in Physics and also likes Maths.,Tabby is good in Physics and doesn't like Maths,Someone gave Tabby a problem in Maths. Is he likely to enjoy solving it?,Yes,No
"Generally, people who are good in physics also like Maths",Tabby is good in Physics and also likes Maths.,Tabby is good in Physics and doesn't like Maths,Someone gave Tabby a problem in Maths. Is he likely to not enjoy solving it?,No,Yes
"Generally, hotels are more expensive than a dormitory",A dormitory on 53rd St is a regular school dormitory for girls.,A dormitory on 53rd St is costlier than any luxurious hotel,Donny rent a room in dormitory and Tonny rent a room in a luxurious hotel. Will Donny be paying less rent?,Yes,No
"Generally, hotels are more expensive than a dormitory",A dormitory on 53rd St is a regular school dormitory for girls.,A dormitory on 53rd St is costlier than any luxurious hotel,Donny rent a room in dormitory and Tonny rent a room in a luxurious hotel. Will Donny be paying more rent?,No,Yes
"Generally, hotels are more expensive than a dormitory",A dormitory on 53rd St is a regular school dormitory for girls.,A dormitory on 53rd St is costlier than any luxurious hotel,Donny rent a room in dormitory and Tonny rent a room in a luxurious hotel. Will Tonny be paying less rent?,No,Yes
"Generally, hotels are more expensive than a dormitory",A dormitory on 53rd St is a regular school dormitory for girls.,A dormitory on 53rd St is costlier than any luxurious hotel,Donny rent a room in dormitory and Tonny rent a room in a luxurious hotel. Will Tonny be paying more rent?,Yes,No
"Generally, metals are heavier than plastic",Tony Stark has discovered a metal caled vibranium which is heavier than plastic.,Tony Stark has discovered a metal caled vibranium which is lighter than plastic.,Tony Stark has to make a light shield. Is the vibranium metal preferable over plastic?,No,Yes
"Generally, metals are heavier than plastic",Stark has discovered a metal caled vibranium which is heavier than plastic.,Tony Stark has discovered a metal caled vibranium which is lighter than plastic.,Tony Stark has to make a light shield. Is plastic preferred over vibranium metal?,Yes,No
"Generally, metals are heavier than plastic",Stark has discovered a metal caled vibranium which is heavier than plastic.,Stark has discovered a metal vibranium. Even plastic is heavier than that metal.,Stark has to make a light shield. Is the vibranium metal preferable over plastic?,No,Yes
"Generally, metals are heavier than plastic",Stark has discovered a metal caled vibranium which is heavier than plastic.,Stark has discovered a metal vibranium. Even plastic is heavier than that metal.,Stark has to make a light shield. Is plastic preferred over vibranium metal?,Yes,No
"Generally, people do not shoplift",Tinny is a well-behaved person who does not shoplift.,Tinny is is a brat who enjoys shoplifting expensive stuff from the store.,Tinny sees a nice pair of shoes which he can not afford to buy. Is she likely to shoplift?,No,Yes
"Generally, people are scared to engage with the police",Johny tries to avoid engaging with the police.,Johny enjoys arguing with the police.,Johny was asked to wait for sometime by some police officeres. Is he likely to argue with the police?,No,Yes
"Generally, people are scared to engage with the police",Johny tries to avoid engaging with the police.,Johny enjoys arguing with the police.,Johny was asked to wait for sometime by the police. Is he likely not to argue with the police?,Yes,No
"Generally, people are scared to engage with the police",Johny does not like to engage with the police.,Johny enjoys arguing with the police officers.,Johny was asked to wait for sometime by the police. Is he likely to argue with the police?,No,Yes
"Generally, people are scared to engage with the police",Johny does not like to engage with the police.,Johny enjoys arguing with the police.,Johny was asked to wait for sometime by the police. Is he likely not to argue with the police?,Yes,No
"Generally, people like to be with their friends and family when they are ill",Timmy likes to be around friends and families when they are ill.,Timmy does not like to be around friends and families when they are ill.,Timmy's parents are ill. Will he likely be around them?,Yes,No
"Generally, people like to be with their friends and family when they are ill",Timmy likes to be around friends and families when they are ill.,Timmy does not like to be around friends and families when they are ill.,Timmy's parents are ill. Will he likely be away from them?,No,Yes
"Generally, people like to be with their friends and family when they are ill",Timmy dislikes being away from friends and families when they are ill.,Timmy likes being away from friends and families when they are ill.,Timmy's parents are ill. Will he likely be around them?,Yes,No
"Generally, people like to be with their friends and family when they are ill",Timmy dislikes being away from friends and families when they are ill.,Timmy likes being away from friends and families when they are ill.,Timmy's parents are ill. Will he likely be away from them?,No,Yes
"Generally, people like to be with their friends and family when they are ill",Timmy dislikes being away from friends and families when he is ill.,Timmy likes being away from friends and families when he is ill.,Timmy is ill. Will he likely be around the family?,Yes,No
"Generally, people like to be with their friends and family when they are ill",Timmy dislikes being away from friends and families when he is ill.,Timmy likes being away from friends and families when he is ill.,Timmy is ill. Will he likely be away from the family?,No,Yes
"Generally, athletes are fitter than computer engineers",Tony is a computer engineer and works day and night by sitting in front of a computer,Tony is a computer engineer and even fitter than a professional athlete.,Tony who is a computer engineer is having a fitness competition with athletes. Is he likely to win?,No,Yes
"Generally, athletes are fitter than computer engineers",Tony is a computer engineer and works day and night by sitting in front of a computer,Tony is a computer engineer and even fitter than a professional athlete.,Tony is having a fit competition with other athletes. Will he lose?,Yes,No
"Generally, ad hoc teachers are paid less than the permanent teachers",Mrs. Smith is an ad hoc teacher and thus paid less than permanent teachers.,Mrs. Smith is paid more than any other permanent teachers although she is an adhoc teacher,"Mrs Smith is an ad hoc teacher, is she earning more than the permanent teachers in that school?",No,Yes
"Generally, ad hoc teachers are paid less than the permanent teachers",Mrs. Smith is an ad hoc teacher and thus paid less than permanent teachers.,Mrs. Smith is paid more than any other permanent teachers although she is an adhoc teacher,"Mrs Smith is an ad hoc teacher, is she earning less than the permanent teachers in that school?",Yes,No
"Generally, ad hoc teachers are paid less than the permanent teachers",Mrs. Smith is an ad hoc teacher and thus paid less than permanent teachers.,No other permanent teacher is paid as much as Mrs Smith who is an adhoc teacher.,Teachers are going to be paid today. Is Mrs. Smith who is an ad hoc teacher going to earn more than permanent teachers?,No,Yes
"Generally, ad hoc teachers are paid less than the permanent teachers",Mrs. Smith is an ad hoc teacher and thus paid less than permanent teachers.,No other permanent teacher is paid as much as Mrs Smith who is an adhoc teacher.,Teachers are going to be paid today. Is Mrs. Smith who is an ad hoc teacher going to earn less than permanent teachers?,Yes,No
"Generaly, kids like to eat candies",Oliver likes to eats candies.,Oliver doesn't like candies,Oliver is a kid and is offered to choose between candies and green beans. Will he prefer candies?,Yes,No
"Generaly, kids like to eat candies",Oliver always eats candies.,Oliver doesn't like candies,Oliver is a kid and is offered to choose between candies and green beans. Will he not prefer candies?,No,Yes
"Generally, sporting events have an audience",soccer games are watched by a large audience.,This year soccer final is being held without an audience,The final soccer match will be played between the two most popular teams. Will the stadium be full of supporters of both teams?,Yes,No
"Generally, sporting events have an audience",soccer games are watched by a large audience.,This year soccer final is being held without an audience,The final soccer match will be played between the two most popular teams. Will the stadium not have supporters in the audience?,No,Yes
"Generally, football games are broadcasted live on television",The federation will broadcast the world cup finals live on television.,The federation this year will not broadcast the world cup finals live on television,This year's final match is the most anticipated match ever. Will the match be broadcasted live on Television?,Yes,No
"Generally, schools have biology labs",John's school has a big biology lab.,John's school does not have a biology lab.,"John is very much interested in pursuing biology, should John's parents think of changing his school?",No,Yes
"Generally, rent of a room is less than the rent of that entire house",Booking a single room costs less than booking the entire house.,A luxury house has a policy that booking a single room will cost more than booking the entire house.,"Mary booked a room of that house, will she be charged more as compared to if she had booked the entire house?",No,Yes
"Generally, rent of a room is less than the rent of that entire house",Booking a single room costs less than booking the entire house.,A luxury house has a policy that booking a single room will cost more than booking the entire house.,"Mary booked a room of that house, will she be charged less as compared to if she had booked the entire house?",Yes,No
"Generally, rent of a room is less than the rent of that entire house",Booking a single room costs less than booking the entire house.,A luxury house has a policy that booking a single room will cost more than booking the entire house.,"Mary booked the entire house, will she be charged more as compared to if she had booked a single room in that house?",Yes,No
"Generally, rent of a room is less than the rent of that entire house",Booking a single room costs less than booking the entire house.,A luxury house has a policy that booking a single room will cost more than booking the entire house.,"Mary booked the entire house, will she be charged less as compared to if she had booked a single room in that house?",No,Yes
"Generally, students of 5th grade are shorter than their teachers",Timmy is a 5th grader and he is shorter than his teacher.,Timmy is a 5th grader and he is taller than his teacher.,There is a height measurement between Timmy who is 5th grade student and his teacher. Will he come out taller?,No,Yes
"Generally, students of 5th grade are shorter than their teachers",Timmy is a 5th grader and he is shorter than his teacher.,Timmy is a 5th grader and he is taller than his teacher.,There is a height measurement between Timmy who is 5th grade student and his teacher. Will he come out shorter?,Yes,No
"Generally, students of 5th grade are shorter than their teachers",Timmy is a 5th grader and his teacher is taller than him.,Timmy is a 5th grader and his teacher is shorter than him.,There is a height measurement between Timmy and his teacher. Will the teacher come out taller?,Yes,No
"Generally, students of 5th grade are shorter than their teachers",Timmy is a 5th grader and his teacher is taller than him.,Timmy is a 5th grader and his teacher is shorter than him.,There is a height measurement between Timmy and his teacher. Will the teacher come out shorter?,No,Yes
"Generally, students of 5th grade weigh lesser than their teachers",Rony is a 5th grader and he weighs less than his teacher.,Rony is a 5th grader and he weighs more than his teacher,There is a weight measurement between Rony who is a 5th grader and his teacher. Will he come out heavier?,No,Yes
"Generally, students of 5th grade weigh lesser than their teachers",Rony is a 5th grader and he weighs less than his teacher.,Rony is a 5th grader and he weighs more than his teacher,There is a weight measurement between Rony who is a 5th grader and his teacher. Will he come out lighter?,Yes,No
"Generally, students of 5th grade weigh lesser than their teachers",Rony is a 5th grader and his teacher weighs more than him.,Rony is a 5th grader and his teacher weighs less than him.,There is a weight measurement between Rony who is a 5th grader and his teacher. Will the teacher come out heavier?,Yes,No
"Generally, students of 5th grade weigh lesser than their teachers",Rony is a 5th grader and his teacher weighs more than him.,Rony is a 5th grader and his teacher weighs less than him.,There is a weight measurement between Rony who is a 5th grader and his teacher. Will the teacher come out lighter?,No,Yes
"Generally, students enjoy the games class in school",Timmy enjoys the games class in school.,Timmy doesn't enjoy the games class in school,There is a games class at Timmy's school. Will he enjoy it?,Yes,No
"Generally, students enjoy the games class in school",Timmy enjoys the games class in school.,Timmy doesn't enjoy the games class in school,There is a games class at Timmy's school. Will he dislike it?,No,Yes
"Generally, patients are charged for being admitted in a hospital",Max hospital is very expensive.,Max hospital does not charge its patients from 7 to 8 am.,Sammy is having a financial crisis. He needs to go to a hospital. Can he choose to visit Max hospital?,No,Yes
"Generally, patients are charged for being admitted in a hospital",Max hospital is very expensive.,Max hospital does not charge its patients from 7 to 8 am.,Sammy is having a financial crisis. He needs to go to a hospital. Can he not opt to visit Max hospital?,Yes,No
"Generally, patients are charged for being admitted in a hospital",Max hospital is very expensive.,Max hospital doesn't charge students.,Sammy is a student and having a financial crisis. He needs to go to a hospital. Can he choose to visit Max hospital?,No,Yes
"Generally, patients are charged for being admitted in a hospital",Max hospital is very expensive.,Max hospital is free for students.,Sammy is a student and having a financial crisis. He needs to go to a hospital. Can he not opt to visit Max hospital?,Yes,No
"Generally, in a 100 marks exam, one can't score more than 100",Ginny gave a regular physics exam of 100 marks.,Ginny gave a physics exam in which there was a question for bonus marks.,Ginny wants to score more than 100 marks out of 100 in an exam. Can she do it in Physics?,No,Yes
"Generally, in a 100 marks exam, one can't score more than 100","Subject ABC does not offer additional marking, making it impossible to score above 100%.","Subject ABC offers additional marking, making it possible to score above 100",Ginny wants to score more than 100 marks out of 100 in an exam. Can she not do it in Physics?,Yes,No
"Generally, bigger vehicles have more seating capacity",A truck has more seating capacity than a small car.,A truck is a large vehicle but can seat lesser number of people than a small regular car.,"Sam is looking for a vehicle that has more seating capacity, should he go for the bigger vehicle i.e. truck over a car?",Yes,No
"Generally, bigger vehicles have more seating capacity",A truck has more seating capacity than a small car.,A truck is a large vehicle but can seat lesser number of people than a small regular car.,"Sam is looking for a vehicle that has more seating capacity, should he go for the smaller vehicle i.e. car over a truck?",No,Yes
"Generally, bigger vehicles have more seating capacity",A truck has more capacity of seating than a small car.,A car is a smaller vehicle but can seat more number of people than a bigger truck.,"Sam is looking for a vehicle that has more seating capacity, should he go for the bigger vehicle i.e. truck over a car?",Yes,No
"Generally, bigger vehicles have more seating capacity",A truck has more capacity of seating than a small car.,A car is a smaller vehicle but can seat more number of people than a bigger truck.,"Sam is looking for a vehicle that has more seating capacity, should he go for the smaller vehicle i.e. car over a truck?",No,Yes
"Generally, bulbs with higher voltage will be brighter",Jimmy has a bulb that consumes higher voltage than a regular bulb and is brighter,Jimmy has a bulb that consumes higher voltage than a regular bulb but is less brighter than it,"John is looking to buy a bulb from Jimmy that is brighter, should he take the one that requires higher voltage?",Yes,No
"Generally, bulbs with higher voltage will be brighter",Jimmy has a bulb that consumes higher voltage than a regular bulb and is brighter,Jimmy has a bulb that consumes higher voltage than a regular bulb but is less brighter than it,"John is looking to buy a bulb from Jimmy that is brighter, should he take the one that requires lower voltage?",No,Yes
"Generally, bulbs with higher voltage will be brighter",Jimmy has a bulb that consumes higher voltage than a regular bulb and is brighter,Jimmy has a bulb that consumes higher voltage than a regular bulb but is less brighter than it,"John is looking to buy a bulb from Jimmy that requires higher voltage, should he take the one that is brighter?",Yes,No
"Generally, bulbs with higher voltage will be brighter",Jimmy has a bulb that consumes higher voltage than a regular bulb and is brighter,Jimmy has a bulb that consumes higher voltage than a regular bulb but is less brighter than it,"John is looking to buy a bulb from Jimmy that requires higher voltage, should he take the one that is less bright?",No,Yes
"Generally, car would cover more distance than a bicycle in the same time",Steven has a fast racing car.,Steven has an old car that is even slower than a bicycle,"Steven rides his bicycle and car for one hour, will he cover more distance with car?",Yes,No
"Generally, car would cover more distance than a bicycle in the same time",Steven has a fast racing car.,Steven has an old car that is even slower than a bicycle,"Steven rides his bicycle and car for one hour, will he cover less distance with car?",No,Yes
"Generally, car would cover more distance than a bicycle in the same time",Steven has a fast racing car.,Steven has an old car that is even slower than a bicycle,"Steven rides his bicycle and car for one hour, will he cover more distance with bicycle?",No,Yes
"Generally, car would cover more distance than a bicycle in the same time",Steven has a fast racing car.,Steven has an old car that is even slower than a bicycle,"Steven rides his bicycle and car for one hour, will he cover less distance with bicycle?",Yes,No
"Generally, car would cover more distance than a bicycle in the same time",Steven has a fast racing car.,Steven has an old car that is even slower than a bicycle,"Steven wants to cover more distance in one hour, should he choose his bicycle over car?",No,Yes
"Generally, car would cover more distance than a bicycle in the same time",Steven has a fast racing car.,Steven has an old car that is even slower than a bicycle,"Steven wants to cover more distance in one hour, should he choose his car over bicycle?",Yes,No
